Task,Function
Randomly shift the channels of an image,"def random_channel_shift(image, intensity, channel_axis=2, u=0.5):
    if np.random.random() < u:
        image = np.rollaxis(image, channel_axis, 0)
        min_x, max_x = np.min(image), np.max(image)
        channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                          for x_channel in image]
        image = np.stack(channel_images, axis=0)
        image = np.rollaxis(image, 0, channel_axis + 1)
    return image"
randomise the image channel shift,"def random_channel_shift(image, intensity, channel_axis=2, u=0.5):
    if np.random.random() < u:
        image = np.rollaxis(image, channel_axis, 0)
        min_x, max_x = np.min(image), np.max(image)
        channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                          for x_channel in image]
        image = np.stack(channel_images, axis=0)
        image = np.rollaxis(image, 0, channel_axis + 1)
    return image"
Randomise the shift of the image channels,"def random_channel_shift(image, intensity, channel_axis=2, u=0.5):
    if np.random.random() < u:
        image = np.rollaxis(image, channel_axis, 0)
        min_x, max_x = np.min(image), np.max(image)
        channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                          for x_channel in image]
        image = np.stack(channel_images, axis=0)
        image = np.rollaxis(image, 0, channel_axis + 1)
    return image"
Shift the channels randomly,"def random_shift_channels(img):
    img_copy = img.copy()
    channels = cv2.split(img_copy)
    random.shuffle(channels)
    return cv2.merge(channels)"
Shift the channels of image randomly,"def random_channel_shift(image, intensity, channel_axis=2, u=0.5):
    if np.random.random() < u:
        image = np.rollaxis(image, channel_axis, 0)
        min_x, max_x = np.min(image), np.max(image)
        channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                          for x_channel in image]
        image = np.stack(channel_images, axis=0)
        image = np.rollaxis(image, 0, channel_axis + 1)
    return image"
Shift the channels of image randomly,"def random_channel_shift(x, intensity, channel_index=0):
    x = np.rollaxis(x, channel_index, 0)
    min_x, max_x = np.min(x), np.max(x)
    channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                      for x_channel in x]
    x = np.stack(channel_images, axis=0)
    x = np.rollaxis(x, 0, channel_index+1)
    return x"
Randomly shift the image channels,"def random_channel_shift(x, intensity, channel_index=0):
    x = np.rollaxis(x, channel_index, 0)
    min_x, max_x = np.min(x), np.max(x)
    channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                      for x_channel in x]
    x = np.stack(channel_images, axis=0)
    x = np.rollaxis(x, 0, channel_index+1)
    return x"
Randomly shift the image channels,"def random_shift_channels(img):
    img_copy = img.copy()
    channels = cv2.split(img_copy)
    random.shuffle(channels)
    return cv2.merge(channels)"
Randomly shift the channels of an image,"def random_channel_shift(x, intensity, channel_index=0):
    x = np.rollaxis(x, channel_index, 0)
    min_x, max_x = np.min(x), np.max(x)
    channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                      for x_channel in x]
    x = np.stack(channel_images, axis=0)
    x = np.rollaxis(x, 0, channel_index+1)
    return x"
Randomly shift the channels of an image,"def random_shift_channels(img):
    img_copy = img.copy()
    channels = cv2.split(img_copy)
    random.shuffle(channels)
    return cv2.merge(channels)"
randomise the image channel shift,"def random_channel_shift(x, intensity, channel_index=0):
    x = np.rollaxis(x, channel_index, 0)
    min_x, max_x = np.min(x), np.max(x)
    channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                      for x_channel in x]
    x = np.stack(channel_images, axis=0)
    x = np.rollaxis(x, 0, channel_index+1)
    return x"
randomise the image channel shift,"def random_shift_channels(img):
    img_copy = img.copy()
    channels = cv2.split(img_copy)
    random.shuffle(channels)
    return cv2.merge(channels)"
Randomise the shift of the image channels,"def random_channel_shift(x, intensity, channel_index=0):
    x = np.rollaxis(x, channel_index, 0)
    min_x, max_x = np.min(x), np.max(x)
    channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                      for x_channel in x]
    x = np.stack(channel_images, axis=0)
    x = np.rollaxis(x, 0, channel_index+1)
    return x"
Randomise the shift of the image channels,"def random_shift_channels(img):
    img_copy = img.copy()
    channels = cv2.split(img_copy)
    random.shuffle(channels)
    return cv2.merge(channels)"
Change the contrast of image randomly,"def random_contrast(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly change the image's contrast,"def _random_contrast_3d_nd(image, lower, upper):
    factor = np.random.uniform(lower, upper)
    return np.clip(factor * image, 0, 255).astype(np.uint8)"
Change the image's contrast at random,"def random_contrast(image, lower=0.5, upper=1.5):
    eigval = cv2.PCA(image, None, cv2.CV_64F).eigenvalues
    eigval = eigval.flatten().astype(np.float32)
    alpha = np.random.uniform(lower, upper)
    gray = image * alpha
    gray = np.clip(gray, 0, 255).astype(np.uint8)
    return gray"
Change the image's contrast in a random way.,"def change_contrast(img, contrast_factor):
    img_hsv = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img_hsv[:, :, 2] = img_hsv[:, :, 2] * contrast_factor
    img_bgr = cv2.cvtColor(img_hsv, cv2.COLOR_HSV2BGR)
    return img_bgr"
Alter the image's contrast at random,"def random_contrast(img, lower=0.5, upper=1.5):
    e = np.random.uniform(lower, upper)
    img = img * e
    return img"
Randomize image contrast,"def randomize_contrast(image, min_factor=0.5, max_factor=1.5):
    factor = np.random.uniform(min_factor, max_factor)
    image = image.astype(np.float32)
    image *= factor
    return image"
Randomly alter the image's contrast,"def random_contrast(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly alter the image's contrast,"def _random_contrast_3d_nd(image, lower, upper):
    factor = np.random.uniform(lower, upper)
    return np.clip(factor * image, 0, 255).astype(np.uint8)"
Randomly alter the image's contrast,"def random_contrast(image, lower=0.5, upper=1.5):
    eigval = cv2.PCA(image, None, cv2.CV_64F).eigenvalues
    eigval = eigval.flatten().astype(np.float32)
    alpha = np.random.uniform(lower, upper)
    gray = image * alpha
    gray = np.clip(gray, 0, 255).astype(np.uint8)
    return gray"
Randomly alter the image's contrast,"def random_contrast(img, lower=0.5, upper=1.5):
    e = np.random.uniform(lower, upper)
    img = img * e
    return img"
Randomly alter the image's contrast,"def change_contrast(img, contrast_factor):
    img_hsv = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img_hsv[:, :, 2] = img_hsv[:, :, 2] * contrast_factor
    img_bgr = cv2.cvtColor(img_hsv, cv2.COLOR_HSV2BGR)
    return img_bgr"
Randomly alter the image's contrast,"def randomize_contrast(image, min_factor=0.5, max_factor=1.5):
    factor = np.random.uniform(min_factor, max_factor)
    image = image.astype(np.float32)
    image *= factor
    return image"
Change the contrast of image randomly,"def _random_contrast_3d_nd(image, lower, upper):
    factor = np.random.uniform(lower, upper)
    return np.clip(factor * image, 0, 255).astype(np.uint8)"
Change the contrast of image randomly,"def random_contrast(image, lower=0.5, upper=1.5):
    eigval = cv2.PCA(image, None, cv2.CV_64F).eigenvalues
    eigval = eigval.flatten().astype(np.float32)
    alpha = np.random.uniform(lower, upper)
    gray = image * alpha
    gray = np.clip(gray, 0, 255).astype(np.uint8)
    return gray"
Change the contrast of image randomly,"def random_contrast(img, lower=0.5, upper=1.5):
    e = np.random.uniform(lower, upper)
    img = img * e
    return img"
Change the contrast of image randomly,"def change_contrast(img, contrast_factor):
    img_hsv = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img_hsv[:, :, 2] = img_hsv[:, :, 2] * contrast_factor
    img_bgr = cv2.cvtColor(img_hsv, cv2.COLOR_HSV2BGR)
    return img_bgr"
Change the contrast of image randomly,"def randomize_contrast(image, min_factor=0.5, max_factor=1.5):
    factor = np.random.uniform(min_factor, max_factor)
    image = image.astype(np.float32)
    image *= factor
    return image"
Randomly change the image's contrast,"def random_contrast(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly change the image's contrast,"def random_contrast(image, lower=0.5, upper=1.5):
    eigval = cv2.PCA(image, None, cv2.CV_64F).eigenvalues
    eigval = eigval.flatten().astype(np.float32)
    alpha = np.random.uniform(lower, upper)
    gray = image * alpha
    gray = np.clip(gray, 0, 255).astype(np.uint8)
    return gray"
Randomly change the image's contrast,"def random_contrast(img, lower=0.5, upper=1.5):
    e = np.random.uniform(lower, upper)
    img = img * e
    return img"
Randomly change the image's contrast,"def change_contrast(img, contrast_factor):
    img_hsv = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img_hsv[:, :, 2] = img_hsv[:, :, 2] * contrast_factor
    img_bgr = cv2.cvtColor(img_hsv, cv2.COLOR_HSV2BGR)
    return img_bgr"
Randomly change the image's contrast,"def randomize_contrast(image, min_factor=0.5, max_factor=1.5):
    factor = np.random.uniform(min_factor, max_factor)
    image = image.astype(np.float32)
    image *= factor
    return image"
Change the image's contrast at random,"def random_contrast(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Change the image's contrast at random,"def _random_contrast_3d_nd(image, lower, upper):
    factor = np.random.uniform(lower, upper)
    return np.clip(factor * image, 0, 255).astype(np.uint8)"
Change the image's contrast at random,"def random_contrast(img, lower=0.5, upper=1.5):
    e = np.random.uniform(lower, upper)
    img = img * e
    return img"
Change the image's contrast at random,"def change_contrast(img, contrast_factor):
    img_hsv = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img_hsv[:, :, 2] = img_hsv[:, :, 2] * contrast_factor
    img_bgr = cv2.cvtColor(img_hsv, cv2.COLOR_HSV2BGR)
    return img_bgr"
Change the image's contrast at random,"def randomize_contrast(image, min_factor=0.5, max_factor=1.5):
    factor = np.random.uniform(min_factor, max_factor)
    image = image.astype(np.float32)
    image *= factor
    return image"
Change the image's contrast in a random way.,"def random_contrast(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Change the image's contrast in a random way.,"def _random_contrast_3d_nd(image, lower, upper):
    factor = np.random.uniform(lower, upper)
    return np.clip(factor * image, 0, 255).astype(np.uint8)"
Change the image's contrast in a random way.,"def random_contrast(image, lower=0.5, upper=1.5):
    eigval = cv2.PCA(image, None, cv2.CV_64F).eigenvalues
    eigval = eigval.flatten().astype(np.float32)
    alpha = np.random.uniform(lower, upper)
    gray = image * alpha
    gray = np.clip(gray, 0, 255).astype(np.uint8)
    return gray"
Change the image's contrast in a random way.,"def random_contrast(img, lower=0.5, upper=1.5):
    e = np.random.uniform(lower, upper)
    img = img * e
    return img"
Change the image's contrast in a random way.,"def randomize_contrast(image, min_factor=0.5, max_factor=1.5):
    factor = np.random.uniform(min_factor, max_factor)
    image = image.astype(np.float32)
    image *= factor
    return image"
Alter the image's contrast at random,"def random_contrast(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Alter the image's contrast at random,"def _random_contrast_3d_nd(image, lower, upper):
    factor = np.random.uniform(lower, upper)
    return np.clip(factor * image, 0, 255).astype(np.uint8)"
Alter the image's contrast at random,"def random_contrast(image, lower=0.5, upper=1.5):
    eigval = cv2.PCA(image, None, cv2.CV_64F).eigenvalues
    eigval = eigval.flatten().astype(np.float32)
    alpha = np.random.uniform(lower, upper)
    gray = image * alpha
    gray = np.clip(gray, 0, 255).astype(np.uint8)
    return gray"
Alter the image's contrast at random,"def change_contrast(img, contrast_factor):
    img_hsv = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img_hsv[:, :, 2] = img_hsv[:, :, 2] * contrast_factor
    img_bgr = cv2.cvtColor(img_hsv, cv2.COLOR_HSV2BGR)
    return img_bgr"
Alter the image's contrast at random,"def randomize_contrast(image, min_factor=0.5, max_factor=1.5):
    factor = np.random.uniform(min_factor, max_factor)
    image = image.astype(np.float32)
    image *= factor
    return image"
Randomize image contrast,"def random_contrast(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomize image contrast,"def _random_contrast_3d_nd(image, lower, upper):
    factor = np.random.uniform(lower, upper)
    return np.clip(factor * image, 0, 255).astype(np.uint8)"
Randomize image contrast,"def random_contrast(image, lower=0.5, upper=1.5):
    eigval = cv2.PCA(image, None, cv2.CV_64F).eigenvalues
    eigval = eigval.flatten().astype(np.float32)
    alpha = np.random.uniform(lower, upper)
    gray = image * alpha
    gray = np.clip(gray, 0, 255).astype(np.uint8)
    return gray"
Randomize image contrast,"def random_contrast(img, lower=0.5, upper=1.5):
    e = np.random.uniform(lower, upper)
    img = img * e
    return img"
Randomize image contrast,"def change_contrast(img, contrast_factor):
    img_hsv = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img_hsv[:, :, 2] = img_hsv[:, :, 2] * contrast_factor
    img_bgr = cv2.cvtColor(img_hsv, cv2.COLOR_HSV2BGR)
    return img_bgr"
Change the saturation of image randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Adjust the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation

    return cv2.cvtColor(image, cv2.COLOR_HSV2BGR)"
Randomly alter the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Randomly change the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Randomly set the image's saturation,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Randomly adjust the image's saturation,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Change the saturation of an image at random,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Randomize image saturation,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Alter the image saturation randomly,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Alter the saturation of image randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Set the image saturation randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Set the saturation of image randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Adjust the image saturation randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Change the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Change the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Change the saturation of image randomly,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Change the saturation of image randomly,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Change the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Change the saturation of image randomly,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Change the saturation of image randomly,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Change the saturation of image randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Adjust the saturation of image randomly,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Adjust the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Adjust the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Adjust the saturation of image randomly,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Adjust the saturation of image randomly,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Adjust the saturation of image randomly,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Adjust the saturation of image randomly,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Adjust the saturation of image randomly,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Randomly alter the image's saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly alter the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
Randomly alter the image's saturation,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Randomly alter the image's saturation,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Randomly alter the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Randomly alter the image's saturation,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Randomly alter the image's saturation,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Randomly alter the image's saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly change the image's saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly change the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Randomly change the image's saturation,"def randomize_saturation(image, lower=0.5, upper=1.5):
    img = image.astype(np.float32)
    img = img * np.random.uniform(lower, upper)
    img = img.clip(0, 255).astype(np.uint8)
    return img"
Randomly change the image's saturation,"def random_saturation(image):
    image = np.array(image, dtype=np.float64)
    random_scale = np.random.uniform(low=0.5, high=1.5)
    image[:, :, 1] *= random_scale
    image[image[:, :, 1] > 255] = 255
    image = np.array(image, dtype=np.uint8)
    return image"
Randomly change the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
    saturation = np.random.uniform(lower, upper)
    image[:, :, 1] = image[:, :, 1] * saturation
    image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
    return image"
Randomly change the image's saturation,"def saturation(image):
    saturation_factor = np.random.uniform(low=0.5, high=1.5)
    image_HLS = cv2.cvtColor(image, cv2.COLOR_RGB2HLS)
    image_HLS[:, :, 1] = image_HLS[:, :, 1] * saturation_factor
    image_RGB = cv2.cvtColor(image_HLS, cv2.COLOR_HLS2RGB)
    return image_RGB"
Randomly change the image's saturation,"def random_saturation(img, lower=0.5, upper=1.5):
    img = cv2.cvtColor(img, cv2.COLOR_BGR2HSV)
    img = np.array(img, dtype=np.float32)
    random_scale = np.random.uniform(lower, upper)
    img[:, :, 1] = img[:, :, 1] * random_scale
    img[:, :, 1][img[:, :, 1] > 255] = 255
    img = np.array(img, dtype=np.uint8)
    img = cv2.cvtColor(img, cv2.COLOR_HSV2BGR)
    return img"
Randomly change the image's saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly set the image's saturation,"def random_saturation(image, mask, lower=0.5, upper=1.5, u=0.5):
    if np.random.random() < u:
        x = random_channel_shift(image, np.random.uniform(lower, upper))
        y = random_channel_shift(mask, np.random.uniform(lower, upper))
    else:
        x = image
        y = mask
    return x, y"
Randomly set the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    image = tf.image.random_saturation(image, lower, upper)
    return image"
Randomly set the image's saturation,"def random_saturation(image, lower=0.5, upper=1.5):
    if not _is_numpy_image(image):
        raise TypeError('Input image should be 3D array.')

    saturation_factor = np.random.uniform(lower, upper)

    hsv = cv2.cvtColor(image, cv2.COLOR_RGB2HSV)
    hsv[:, :, 1] = hsv[:, :, 1] * saturation_factor
    return cv2.cvtColor(hsv, cv2.COLOR_HSV2RGB)"
