,Task,Function
1357,Find out the hull defects on a contour,"def find_hull_defects(contours):
    cnt = contours[0]

    hull = cv2.convexHull(cnt, returnPoints=False)
    defects = cv2.convexityDefects(cnt, hull)
    return defects"
1358,Find out the hull defects on a contour,"def get_hull_defects(contour, hull):
    hull_defects = cv2.convexityDefects(contour, hull)
    hull_defects_points = []
    for i in range(hull_defects.shape[0]):
        s, e, f, d = hull_defects[i, 0]
        start = tuple(contour[s][0])
        end = tuple(contour[e][0])
        far = tuple(contour[f][0])
        hull_defects_points.append([start, end, far])
    return hull_defects_points"
1359,Find out the hull defects on a contour,"def get_hull_defects(contours):
    
    hull = [cv2.convexHull(c) for c in contours]

    drawing = np.zeros((thresh.shape[0], thresh.shape[1], 3), dtype=np.uint8)

    for i in range(len(contours)):
        color_contours = (0, 255, 0) # green - color for contours
        color = (255, 0, 0) # blue - color for convex hull
        cv2.drawContours(drawing, contours, i, color_contours, 1, 8, hierarchy)
        cv2.drawContours(drawing, hull, i, color, 1, 8)

    cv2.imshow('Output', drawing)
    cv2.waitKey(0)
    cv2.destroyAllWindows()"
1360,Shift the channels randomly,"def random_channel_shift(image, intensity, channel_axis=2, u=0.5):
    if np.random.random() < u:
        image = np.rollaxis(image, channel_axis, 0)
        min_x, max_x = np.min(image), np.max(image)
        channel_images = [np.clip(x_channel + np.random.uniform(-intensity, intensity), min_x, max_x)
                          for x_channel in image]
        image = np.stack(channel_images, axis=0)
        image = np.rollaxis(image, 0, channel_axis + 1)
    return image"
1361,Change the saturation of image randomly,"def random_saturation(self, image, lower=0.5, upper=1.5):
        image = cv2.cvtColor(image, cv2.COLOR_BGR2HSV)
        image[:, :, 1] *= random.uniform(lower, upper)
        image = cv2.cvtColor(image, cv2.COLOR_HSV2BGR)
        return image"
1362,Add random noise to an image,"def add_noise(img, noise_type, sigma):
    if noise_type == ""gauss"":
        row, col, ch = img.shape
        mean = 0
        gauss = np.random.normal(mean, sigma, (row, col, ch))
        gauss = gauss.reshape(row, col, ch)
        noisy = img + gauss
        return noisy
    elif noise_type == ""s&p"":
        row, col, ch = img.shape
        s_vs_p = 0.5
        amount = 0.004
        out = np.copy(img)
        num_salt = np.ceil(amount * img.size * s_vs_p)
        coords = [np.random.randint(0, i - 1, int(num_salt))
                  for i in img.shape]
        out[coords] = 1

        num_pepper = np.ceil(amount * img.size * (1. - s_vs_p))
        coords = [np.random.randint(0, i - 1, int(num_pepper))
                  for i in img.shape]
        out[coords] = 0
        return out
    elif noise_type == ""poisson"":
        vals = len(np.unique(img))
        vals = 2 ** np.ceil(np.log2(vals))
        noisy = np.random.poisson(img * vals) / float(vals)
        return noisy
    elif noise_type == ""speckle"":
        row, col, ch = img.shape
        gauss = np.random.randn(row, col, ch)
        gauss = gauss.reshape(row, col, ch)
        noisy = img + img * gauss
        return noisy"
1363,Image horizontal flipping at random,"def random_flip_horizontal(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
    return image"
1364,Randomly flip an image horizontally,"def horizontal_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[:, ::-1]
        mask = mask[:, ::-1]
    return image, mask"
1365,Randomly flip an image horizontally,"def random_flip_image(image, mask):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
        mask = cv2.flip(mask, 1)
    return image, mask"
1366,Image horizontal flipping at random,"def random_flip_horizontal(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
    return image"
1367,Image horizontal flipping at random,"def random_flip_horizontal(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
    return image"
1368,Randomly flip an image in the horizontal direction.,"def random_flip_horizontal(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
    return image"
1369,Randomly flip an image horizontally,"def flip_image(image, label):
    if random.random() < 0.5:
        image = cv2.flip(image, 1)
        label = cv2.flip(label, 1)
    return image, label
"
1370,Randomly flip an image horizontally,"def random_flip_horizontal(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
    return image"
1371,Image horizontal flipping at random,"def horizontal_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[:, ::-1]
        mask = mask[:, ::-1]
    return image, mask"
1372,Image horizontal flipping at random,"def random_flip_image(image, mask):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
        mask = cv2.flip(mask, 1)
    return image, mask"
1373,Image horizontal flipping at random,"def random_flip_horizontal(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
    return image"
1374,Randomly flip an image in the horizontal direction.,"def horizontal_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[:, ::-1]
        mask = mask[:, ::-1]
    return image, mask"
1375,Randomly flip an image in the horizontal direction.,"def random_flip_image(image, mask):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
        mask = cv2.flip(mask, 1)
    return image, mask"
1376,Randomly flip an image in the horizontal direction.,"def flip_image(image, label):
    if random.random() < 0.5:
        image = cv2.flip(image, 1)
        label = cv2.flip(label, 1)
    return image, label
"
1377,Horizontally flip an image randomly,"def horizontal_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[:, ::-1]
        mask = mask[:, ::-1]
    return image, mask"
1378,Horizontally flip an image randomly,"def random_flip_image(image, mask):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
        mask = cv2.flip(mask, 1)
    return image, mask"
1379,Horizontally flip an image randomly,"def flip_image(image, label):
    if random.random() < 0.5:
        image = cv2.flip(image, 1)
        label = cv2.flip(label, 1)
    return image, label
"
1380,Horizontally flip an image randomly,"def random_flip_horizontal(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
    return image"
1381,Flip an image horizontally at random,"def horizontal_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[:, ::-1]
        mask = mask[:, ::-1]
    return image, mask"
1382,Flip an image horizontally at random,"def random_flip_image(image, mask):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
        mask = cv2.flip(mask, 1)
    return image, mask"
1383,Flip an image horizontally at random,"def flip_image(image, label):
    if random.random() < 0.5:
        image = cv2.flip(image, 1)
        label = cv2.flip(label, 1)
    return image, label
"
1384,Flip an image horizontally at random,"def random_flip_horizontal(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 1)
    return image"
1385,Randomly flip an image vertically,"def vertical_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[::-1, :]
        mask = mask[::-1, :]
    return image, mask"
1386,Randomly flip an image vertically,"def random_flip_vertical(image, mask):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 0)
        mask = cv2.flip(mask, 0)
    return image, mask"
1387,Vertically flip an image at random,"def vertical_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[::-1, :]
        mask = mask[::-1, :]
    return image, mask"
1388,Flip an image vertically at random.,"def vertical_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[::-1, :]
        mask = mask[::-1, :]
    return image, mask"
1389,Vertically flip an image randomly,"def vertical_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[::-1, :]
        mask = mask[::-1, :]
    return image, mask"
1390,Randomly flip an image in the vertical direction,"def random_flip_vertical(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 0)
    return image"
1391,Image vertial flipping at random,"def random_flip_vertical(image):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 0)
    return image"
1392,Vertically flip an image at random,"def vertical_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[::-1, :]
        mask = mask[::-1, :]
    return image, mask"
1393,Flip an image vertically at random.,"def vertical_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[::-1, :]
        mask = mask[::-1, :]
    return image, mask"
1394,Vertically flip an image randomly,"def random_flip_vertical(image, mask):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 0)
        mask = cv2.flip(mask, 0)
    return image, mask"
1395,Randomly flip an image in the vertical direction,"def vertical_flip(image, mask):
    if np.random.random() < 0.5:
        image = image[::-1, :]
        mask = mask[::-1, :]
    return image, mask"
1396,Randomly flip an image in the vertical direction,"def random_flip_vertical(image, mask):
    if np.random.rand() < 0.5:
        image = cv2.flip(image, 0)
        mask = cv2.flip(mask, 0)
    return image, mask"
1397,Randomly crop image,"def random_crop(image, mask, crop_shape):
    if image.shape[0] > crop_shape[0] and image.shape[1] > crop_shape[1]:
        x = np.random.randint(0, image.shape[1] - crop_shape[1])
        y = np.random.randint(0, image.shape[0] - crop_shape[0])
        image = image[y: y + crop_shape[0], x: x + crop_shape[1]]
        mask = mask[y: y + crop_shape[0], x: x + crop_shape[1]]
    return image, mask"
1398,Randomly crop image,"def random_crop(image, crop_size):
    h, w = image.shape[:2]
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return image[top:bottom, left:right, :]"
1399,random image crop,"def random_crop(img, crop_size):
    h, w, c = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1400,Crop an image at random,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1401,Image cropped at random,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1402,Crop the image randomly with given crop size,"""def random_crop(image, mask, crop_shape):
    if image.shape[0] > crop_shape[0] and image.shape[1] > crop_shape[1]:
        x = np.random.randint(0, image.shape[1] - crop_shape[1])
        y = np.random.randint(0, image.shape[0] - crop_shape[0])
        image = image[y: y + crop_shape[0], x: x + crop_shape[1]]
        mask = mask[y: y + crop_shape[0], x: x + crop_shape[1]]
    return image, mask"""
1403,Image cropped in a random way,"def random_crop(image, mask, crop_shape):
    if image.shape[0] > crop_shape[0] and image.shape[1] > crop_shape[1]:
        x = np.random.randint(0, image.shape[1] - crop_shape[1])
        y = np.random.randint(0, image.shape[0] - crop_shape[0])
        image = image[y: y + crop_shape[0], x: x + crop_shape[1]]
        mask = mask[y: y + crop_shape[0], x: x + crop_shape[1]]
    return image, mask"
1404,Crop image randomly,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return img[top:bottom, left:right, :]"
1405,Randomly crop image,"def random_crop(img, crop_size):
    h, w, c = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1406,Randomly crop image,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1407,Randomly crop image,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1408,Randomly crop image,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1409,random image crop,"def random_crop(image, mask, crop_shape):
    if image.shape[0] > crop_shape[0] and image.shape[1] > crop_shape[1]:
        x = np.random.randint(0, image.shape[1] - crop_shape[1])
        y = np.random.randint(0, image.shape[0] - crop_shape[0])
        image = image[y: y + crop_shape[0], x: x + crop_shape[1]]
        mask = mask[y: y + crop_shape[0], x: x + crop_shape[1]]
    return image, mask"
1410,random image crop,"def random_crop(image, crop_size):
    h, w = image.shape[:2]
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return image[top:bottom, left:right, :]"
1411,random image crop,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1412,random image crop,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1413,random image crop,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1414,Crop an image at random,"def random_crop(image, mask, crop_shape):
    if image.shape[0] > crop_shape[0] and image.shape[1] > crop_shape[1]:
        x = np.random.randint(0, image.shape[1] - crop_shape[1])
        y = np.random.randint(0, image.shape[0] - crop_shape[0])
        image = image[y: y + crop_shape[0], x: x + crop_shape[1]]
        mask = mask[y: y + crop_shape[0], x: x + crop_shape[1]]
    return image, mask"
1415,Crop an image at random,"def random_crop(image, crop_size):
    h, w = image.shape[:2]
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return image[top:bottom, left:right, :]"
1416,Crop an image at random,"def random_crop(img, crop_size):
    h, w, c = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1417,Crop an image at random,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1418,Crop an image at random,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return img[top:bottom, left:right, :]"
1419,Image cropped at random,"def random_crop(image, mask, crop_shape):
    if image.shape[0] > crop_shape[0] and image.shape[1] > crop_shape[1]:
        x = np.random.randint(0, image.shape[1] - crop_shape[1])
        y = np.random.randint(0, image.shape[0] - crop_shape[0])
        image = image[y: y + crop_shape[0], x: x + crop_shape[1]]
        mask = mask[y: y + crop_shape[0], x: x + crop_shape[1]]
    return image, mask"
1420,Image cropped at random,"def random_crop(img, crop_size):
    h, w, c = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1421,Image cropped at random,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1422,Image cropped at random,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1423,Image cropped at random,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return img[top:bottom, left:right, :]"
1424,Crop the image randomly with given crop size,"def random_crop(image, crop_size):
    h, w = image.shape[:2]
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return image[top:bottom, left:right, :]"
1425,Crop the image randomly with given crop size,"def random_crop(img, crop_size):
    h, w, c = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1426,Crop the image randomly with given crop size,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1427,Crop the image randomly with given crop size,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1428,Crop the image randomly with given crop size,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return img[top:bottom, left:right, :]"
1429,Image cropped in a random way,"def random_crop(image, crop_size):
    h, w = image.shape[:2]
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return image[top:bottom, left:right, :]"
1430,Image cropped in a random way,"def random_crop(img, crop_size):
    h, w, c = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1431,Image cropped in a random way,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]"
1432,Image cropped in a random way,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1433,Image cropped in a random way,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return img[top:bottom, left:right, :]"
1434,Crop image randomly,"def random_crop(image, crop_size):
    h, w = image.shape[:2]
    top = np.random.randint(0, h - crop_size[0])
    left = np.random.randint(0, w - crop_size[1])
    bottom = top + crop_size[0]
    right = left + crop_size[1]
    return image[top:bottom, left:right, :]"
1435,Crop image randomly,"def random_crop(img, crop_size):
    h, w, c = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1436,Crop image randomly,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]"
1437,Crop image randomly,"def crop_image(img, crop_size):
    h, w, _ = img.shape
    x = random.randint(0, w - crop_size)
    y = random.randint(0, h - crop_size)
    return img[y:y+crop_size, x:x+crop_size, :]"
1438,Crop image randomly,"def random_crop(img, random_crop_size):
    assert img.shape[2] == 3
    height, width = img.shape[0], img.shape[1]
    dy, dx = random_crop_size
    x = np.random.randint(0, width - dx + 1)
    y = np.random.randint(0, height - dy + 1)
    return img[y:(y+dy), x:(x+dx), :]
"
1439,Randomly shear an image,"def random_shear(image, mask, intensity):
    shear = np.random.uniform(-intensity, intensity)
    shear_matrix = np.array([[1, -np.sin(shear), 0], [0, np.cos(shear), 0], [0, 0, 1]])
    h, w = image.shape[0], image.shape[1]
    transform_matrix = transform.AffineTransform(shear_matrix)
    image = transform.warp(image, transform_matrix, mode='edge')
    mask = transform.warp(mask, transform_matrix, mode='edge')
    return image, mask"
1440,random image shearing,"def random_shear(img, shear_range):
    rows, cols, ch = img.shape
    dx = np.random.randint(-shear_range, shear_range + 1)
    random_point = [cols / 2 + dx, rows / 2]
    pts1 = np.float32([[0, rows], [cols, rows], [cols / 2, rows / 2]])
    pts2 = np.float32([[0, rows], [cols, rows], random_point])
    dsteering = dx / (rows / 2) * 360 / (2 * np.pi * 25.0) / 6.0
    M = cv2.getAffineTransform(pts1, pts2)
    img = cv2.warpAffine(img, M, (cols, rows), borderMode=1)
    return img, dsteering"
1441,Shear an image randomly,"def random_shear(image, mask, intensity):
    shear = np.random.uniform(-intensity, intensity)
    shear_matrix = np.array([[1, -np.sin(shear), 0], [0, np.cos(shear), 0], [0, 0, 1]])
    h, w = image.shape[0], image.shape[1]
    transform_matrix = transform.AffineTransform(shear_matrix)
    image = transform.warp(image, transform_matrix, mode='edge')
    mask = transform.warp(mask, transform_matrix, mode='edge')
    return image, mask"
1442,Image shear randomly,"def random_shear(img, shear_range):
    rows, cols, ch = img.shape
    dx = np.random.randint(-shear_range, shear_range + 1)
    random_point = [cols / 2 + dx, rows / 2]
    pts1 = np.float32([[0, rows], [cols, rows], [cols / 2, rows / 2]])
    pts2 = np.float32([[0, rows], [cols, rows], random_point])
    dsteering = dx / (rows / 2) * 360 / (2 * np.pi * 25.0) / 6.0
    M = cv2.getAffineTransform(pts1, pts2)
    img = cv2.warpAffine(img, M, (cols, rows), borderMode=1)
    return img, dsteering"
1443,Randomly shear an image,"def random_shear(img, shear_range):
    rows, cols, ch = img.shape
    dx = np.random.randint(-shear_range, shear_range + 1)
    random_point = [cols / 2 + dx, rows / 2]
    pts1 = np.float32([[0, rows], [cols, rows], [cols / 2, rows / 2]])
    pts2 = np.float32([[0, rows], [cols, rows], random_point])
    dsteering = dx / (rows / 2) * 360 / (2 * np.pi * 25.0) / 6.0
    M = cv2.getAffineTransform(pts1, pts2)
    img = cv2.warpAffine(img, M, (cols, rows), borderMode=1)
    return img, dsteering"
1444,random image shearing,"def random_shear(img, shear_range):
    rows, cols, ch = img.shape
    dx = np.random.randint(-shear_range, shear_range + 1)
    random_point = [cols / 2 + dx, rows / 2]
    pts1 = np.float32([[0, rows], [cols, rows], [cols / 2, rows / 2]])
    pts2 = np.float32([[0, rows], [cols, rows], random_point])
    dsteering = dx / (rows / 2) * 360 / (2 * np.pi * 25.0) / 6.0
    M = cv2.getAffineTransform(pts1, pts2)
    img = cv2.warpAffine(img, M, (cols, rows), borderMode=1)
    return img, dsteering"
1445,Shear an image randomly,"def random_shear(image, mask, intensity):
    shear = np.random.uniform(-intensity, intensity)
    shear_matrix = np.array([[1, -np.sin(shear), 0], [0, np.cos(shear), 0], [0, 0, 1]])
    h, w = image.shape[0], image.shape[1]
    transform_matrix = transform.AffineTransform(shear_matrix)
    image = transform.warp(image, transform_matrix, mode='edge')
    mask = transform.warp(mask, transform_matrix, mode='edge')
    return image, mask"
1446,Image shear randomly,"def random_shear(image, mask, intensity):
    shear = np.random.uniform(-intensity, intensity)
    shear_matrix = np.array([[1, -np.sin(shear), 0], [0, np.cos(shear), 0], [0, 0, 1]])
    h, w = image.shape[0], image.shape[1]
    transform_matrix = transform.AffineTransform(shear_matrix)
    image = transform.warp(image, transform_matrix, mode='edge')
    mask = transform.warp(mask, transform_matrix, mode='edge')
    return image, mask"
1447,Randomly zoom an image,"def random_zoom(image, mask, zoom_range=(0.9, 1.1), row_axis=0, col_axis=1, channel_axis=2,
                fill_mode='nearest', cval=0., u=0.5):
    if np.random.random() < u:
        zx, zy = np.random.uniform(zoom_range[0], zoom_range[1], 2)
        zoom_matrix = np.array([[zx, 0, 0],
                                [0, zy, 0],
                                [0, 0, 1]])

        h, w = image.shape[row_axis], image.shape[col_axis]
        transform_matrix = transform_matrix_offset_center(zoom_matrix, h, w)
        image = apply_transform(image, transform_matrix, channel_axis, fill_mode, cval)
        mask = apply_transform(mask, transform_matrix, channel_axis, fill_mode, cval)

    return image, mask"
1448,Randomly zoom an image,"def random_zoom(img):
    zoom_scale = np.random.uniform(1.0, 2.0)
    height, width = img.shape[:2]
    M = np.float32([[zoom_scale, 0, 0], [0, zoom_scale, 0]])
    img_zoom = cv2.warpAffine(img, M, (width, height))
    return img_zoom"
1449,Zoom an image randomly,"def random_zoom(image, mask, zoom_range=(0.9, 1.1), row_axis=0, col_axis=1, channel_axis=2,
                fill_mode='nearest', cval=0., u=0.5):
    if np.random.random() < u:
        zx, zy = np.random.uniform(zoom_range[0], zoom_range[1], 2)
        zoom_matrix = np.array([[zx, 0, 0],
                                [0, zy, 0],
                                [0, 0, 1]])

        h, w = image.shape[row_axis], image.shape[col_axis]
        transform_matrix = transform_matrix_offset_center(zoom_matrix, h, w)
        image = apply_transform(image, transform_matrix, channel_axis, fill_mode, cval)
        mask = apply_transform(mask, transform_matrix, channel_axis, fill_mode, cval)

    return image, mask"
1450,Zoom in on an image at random,"def random_zoom(image, mask, zoom_range=(0.9, 1.1), row_axis=0, col_axis=1, channel_axis=2,
                fill_mode='nearest', cval=0., u=0.5):
    if np.random.random() < u:
        zx, zy = np.random.uniform(zoom_range[0], zoom_range[1], 2)
        zoom_matrix = np.array([[zx, 0, 0],
                                [0, zy, 0],
                                [0, 0, 1]])

        h, w = image.shape[row_axis], image.shape[col_axis]
        transform_matrix = transform_matrix_offset_center(zoom_matrix, h, w)
        image = apply_transform(image, transform_matrix, channel_axis, fill_mode, cval)
        mask = apply_transform(mask, transform_matrix, channel_axis, fill_mode, cval)

    return image, mask"
1451,Create a random zoom effect on an image,"def random_zoom(image, mask, zoom_range=(0.9, 1.1), row_axis=0, col_axis=1, channel_axis=2,
                fill_mode='nearest', cval=0., u=0.5):
    if np.random.random() < u:
        zx, zy = np.random.uniform(zoom_range[0], zoom_range[1], 2)
        zoom_matrix = np.array([[zx, 0, 0],
                                [0, zy, 0],
                                [0, 0, 1]])

        h, w = image.shape[row_axis], image.shape[col_axis]
        transform_matrix = transform_matrix_offset_center(zoom_matrix, h, w)
        image = apply_transform(image, transform_matrix, channel_axis, fill_mode, cval)
        mask = apply_transform(mask, transform_matrix, channel_axis, fill_mode, cval)

    return image, mask"
1452,Zoom randomly,"def random_zoom(img, zoom_range):
    if random.random() < 0.5:
        zoom_factor = random.uniform(1, zoom_range)
        img = zoom(img, zoom_factor)
    return img"
1453,Zoom randomly,"def zoom(img, zoom_factor):
    height, width = img.shape[:2]
    new_height, new_width = int(height * zoom_factor), int(width * zoom_factor)
    y1, x1 = random.randint(0, height - new_height), random.randint(0, width - new_width)
    y2, x2 = y1 + new_height, x1 + new_width
    bbox = np.array([y1, x1, y2, x2])
    bbox = bbox.astype(np.float32)
    return img[y1:y2, x1:x2], bbox"
1454,Randomly zoom an image,"def random_zoom(img, zoom_range):
    if random.random() < 0.5:
        zoom_factor = random.uniform(1, zoom_range)
        img = zoom(img, zoom_factor)
    return img"
1455,Randomly zoom an image,"def zoom(img, zoom_factor):
    height, width = img.shape[:2]
    new_height, new_width = int(height * zoom_factor), int(width * zoom_factor)
    y1, x1 = random.randint(0, height - new_height), random.randint(0, width - new_width)
    y2, x2 = y1 + new_height, x1 + new_width
    bbox = np.array([y1, x1, y2, x2])
    bbox = bbox.astype(np.float32)
    return img[y1:y2, x1:x2], bbox"
1456,Zoom an image randomly,"def random_zoom(image, mask, zoom_range=(0.9, 1.1), row_axis=0, col_axis=1, channel_axis=2,
                fill_mode='nearest', cval=0., u=0.5):
    if np.random.random() < u:
        zx, zy = np.random.uniform(zoom_range[0], zoom_range[1], 2)
        zoom_matrix = np.array([[zx, 0, 0],
                                [0, zy, 0],
                                [0, 0, 1]])

        h, w = image.shape[row_axis], image.shape[col_axis]
        transform_matrix = transform_matrix_offset_center(zoom_matrix, h, w)
        image = apply_transform(image, transform_matrix, channel_axis, fill_mode, cval)
        mask = apply_transform(mask, transform_matrix, channel_axis, fill_mode, cval)

    return image, mask"
